match_id,player,row,deuce_wide,deuce_middle,deuce_t,ad_wide,ad_middle,ad_t,err_net,err_wide,err_deep,err_wide_deep,err_foot,err_unknown
20240609-M-Roland_Garros-F-Alexander_Zverev-Carlos_Alcaraz,Alexander Zverev,1,34,1,16,22,0,25,0,0,0,0,0,0
20240609-M-Roland_Garros-F-Alexander_Zverev-Carlos_Alcaraz,Alexander Zverev,2,2,1,14,11,3,4,13,8,20,0,0,0
20240609-M-Roland_Garros-F-Alexander_Zverev-Carlos_Alcaraz,Carlos Alcaraz,Total,54,8,22,53,6,16,32,9,28,0,0,0
20240609-M-Roland_Garros-F-Alexander_Zverev-Carlos_Alcaraz,Carlos Alcaraz,1,46,3,4,28,3,12,0,0,0,0,0,0
20240609-M-Roland_Garros-F-Alexander_Zverev-Carlos_Alcaraz,Carlos Alcaraz,2,8,5,18,25,3,4,32,9,28,0,0,0
20240607-M-Roland_Garros-SF-Carlos_Alcaraz-Jannik_Sinner,Carlos Alcaraz,Total,27,33,22,49,22,4,28,10,21,1,0,1
20240607-M-Roland_Garros-SF-Carlos_Alcaraz-Jannik_Sinner,Carlos Alcaraz,1,22,18,10,37,12,4,0,0,0,0,0,0
20240607-M-Roland_Garros-SF-Carlos_Alcaraz-Jannik_Sinner,Carlos Alcaraz,2,5,15,12,12,10,0,28,10,21,1,0,1
20240607-M-Roland_Garros-SF-Carlos_Alcaraz-Jannik_Sinner,Jannik Sinner,Total,24,22,23,33,22,11,27,9,25,6,0,0
20240607-M-Roland_Garros-SF-Carlos_Alcaraz-Jannik_Sinner,Jannik Sinner,1,14,8,14,23,6,11,0,0,0,0,0,0
20240607-M-Roland_Garros-SF-Carlos_Alcaraz-Jannik_Sinner,Jannik Sinner,2,10,14,9,10,16,0,27,9,25,6,0,0
20240602-M-Roland_Garros-R16-Carlos_Alcaraz-Felix_Auger_Aliassime,Carlos Alcaraz,Total,13,0,30,30,4,2,11,3,14,0,0,0
20240602-M-Roland_Garros-R16-Carlos_Alcaraz-Felix_Auger_Aliassime,Carlos Alcaraz,1,11,0,18,21,1,2,0,0,0,0,0,0
20240602-M-Roland_Garros-R16-Carlos_Alcaraz-Felix_Auger_Aliassime,Carlos Alcaraz,2,2,0,12,9,3,0,11,3,14,0,0,0
20240602-M-Roland_Garros-R16-Carlos_Alcaraz-Felix_Auger_Aliassime,Felix Auger Aliassime,Total,19,4,21,22,6,11,19,9,13,0,0,0
20240602-M-Roland_Garros-R16-Carlos_Alcaraz-Felix_Auger_Aliassime,Felix Auger Aliassime,1,13,1,11,14,0,8,0,0,0,0,0,0
20240602-M-Roland_Garros-R16-Carlos_Alcaraz-Felix_Auger_Aliassime,Felix Auger Aliassime,2,6,3,10,8,6,3,19,9,13,0,0,0
20240531-M-Roland_Garros-R32-Sebastian_Korda-Carlos_Alcaraz,Sebastian Korda,Total,22,10,31,38,4,19,29,8,15,2,0,0
20240531-M-Roland_Garros-R32-Sebastian_Korda-Carlos_Alcaraz,Sebastian Korda,1,18,3,17,20,1,13,0,0,0,0,0,0
20240531-M-Roland_Garros-R32-Sebastian_Korda-Carlos_Alcaraz,Sebastian Korda,2,4,7,14,18,3,6,29,8,15,2,0,0
20240531-M-Roland_Garros-R32-Sebastian_Korda-Carlos_Alcaraz,Carlos Alcaraz,Total,21,9,17,22,16,5,6,3,10,1,0,0
20240531-M-Roland_Garros-R32-Sebastian_Korda-Carlos_Alcaraz,Carlos Alcaraz,1,19,8,12,14,12,5,0,0,0,0,0,0
20240531-M-Roland_Garros-R32-Sebastian_Korda-Carlos_Alcaraz,Carlos Alcaraz,2,2,1,5,8,4,0,6,3,10,1,0,0
20240529-M-Roland_Garros-R64-Jesper_De_Jong-Carlos_Alcaraz,Jesper De Jong,Total,18,18,30,29,14,15,32,6,17,3,0,1
20240529-M-Roland_Garros-R64-Jesper_De_Jong-Carlos_Alcaraz,Jesper De Jong,1,15,7,15,19,5,11,0,0,0,0,0,0
20240529-M-Roland_Garros-R64-Jesper_De_Jong-Carlos_Alcaraz,Jesper De Jong,2,3,11,15,10,9,4,32,6,17,3,0,1
20240529-M-Roland_Garros-R64-Jesper_De_Jong-Carlos_Alcaraz,Carlos Alcaraz,Total,14,22,22,34,13,7,15,4,16,1,0,0
20240529-M-Roland_Garros-R64-Jesper_De_Jong-Carlos_Alcaraz,Carlos Alcaraz,1,13,11,16,24,10,4,0,0,0,0,0,0
20240529-M-Roland_Garros-R64-Jesper_De_Jong-Carlos_Alcaraz,Carlos Alcaraz,2,1,11,6,10,3,3,15,4,16,1,0,0
20240526-M-Roland_Garros-R128-Carlos_Alcaraz-J_J_Wolf,Carlos Alcaraz,Total,11,3,20,22,7,3,14,3,2,1,0,0
20240526-M-Roland_Garros-R128-Carlos_Alcaraz-J_J_Wolf,Carlos Alcaraz,1,10,2,13,15,4,3,0,0,0,0,0,0
20240526-M-Roland_Garros-R128-Carlos_Alcaraz-J_J_Wolf,Carlos Alcaraz,2,1,1,7,7,3,0,14,3,2,1,0,0
20240526-M-Roland_Garros-R128-Carlos_Alcaraz-J_J_Wolf,J J Wolf,Total,12,4,18,24,1,5,18,3,9,0,0,0
20240526-M-Roland_Garros-R128-Carlos_Alcaraz-J_J_Wolf,J J Wolf,1,8,0,9,13,1,4,0,0,0,0,0,0
20240526-M-Roland_Garros-R128-Carlos_Alcaraz-J_J_Wolf,J J Wolf,2,4,4,9,11,0,1,18,3,9,0,0,0
20240501-M-Madrid_Masters-QF-Andrey_Rublev-Carlos_Alcaraz,Andrey Rublev,Total,20,3,22,27,1,13,16,4,4,0,0,0
20240501-M-Madrid_Masters-QF-Andrey_Rublev-Carlos_Alcaraz,Andrey Rublev,1,20,0,15,16,0,13,0,0,0,0,0,0
20240501-M-Madrid_Masters-QF-Andrey_Rublev-Carlos_Alcaraz,Andrey Rublev,2,0,3,7,11,1,0,16,4,4,0,0,0
20240501-M-Madrid_Masters-QF-Andrey_Rublev-Carlos_Alcaraz,Carlos Alcaraz,Total,12,3,28,35,1,2,14,4,8,0,0,0
20240501-M-Madrid_Masters-QF-Andrey_Rublev-Carlos_Alcaraz,Carlos Alcaraz,1,10,3,17,25,0,2,0,0,0,0,0,0
20240501-M-Madrid_Masters-QF-Andrey_Rublev-Carlos_Alcaraz,Carlos Alcaraz,2,2,0,11,10,1,0,14,4,8,0,0,0
20240426-M-Madrid_Masters-R64-Alexander_Shevchenko-Carlos_Alcaraz,Alexander Shevchenko,Total,8,5,16,18,4,4,12,3,7,0,0,0
20240426-M-Madrid_Masters-R64-Alexander_Shevchenko-Carlos_Alcaraz,Alexander Shevchenko,1,6,1,10,12,1,3,0,0,0,0,0,0
20240426-M-Madrid_Masters-R64-Alexander_Shevchenko-Carlos_Alcaraz,Alexander Shevchenko,2,2,4,6,6,3,1,12,3,7,0,0,0
20240426-M-Madrid_Masters-R64-Alexander_Shevchenko-Carlos_Alcaraz,Carlos Alcaraz,Total,8,1,11,13,2,3,7,2,2,0,0,0
20240426-M-Madrid_Masters-R64-Alexander_Shevchenko-Carlos_Alcaraz,Carlos Alcaraz,1,6,0,7,9,2,3,0,0,0,0,0,0
20240426-M-Madrid_Masters-R64-Alexander_Shevchenko-Carlos_Alcaraz,Carlos Alcaraz,2,2,1,4,4,0,0,7,2,2,0,0,0
20240328-M-Miami_Masters-QF-Grigor_Dimitrov-Carlos_Alcaraz,Grigor Dimitrov,Total,12,10,7,10,8,9,12,2,7,0,0,0
20240328-M-Miami_Masters-QF-Grigor_Dimitrov-Carlos_Alcaraz,Grigor Dimitrov,1,9,3,5,8,2,8,0,0,0,0,0,0
20240328-M-Miami_Masters-QF-Grigor_Dimitrov-Carlos_Alcaraz,Grigor Dimitrov,2,3,7,2,2,6,1,12,2,7,0,0,0
20240328-M-Miami_Masters-QF-Grigor_Dimitrov-Carlos_Alcaraz,Carlos Alcaraz,Total,6,12,13,9,12,7,10,4,12,2,0,0
20240328-M-Miami_Masters-QF-Grigor_Dimitrov-Carlos_Alcaraz,Carlos Alcaraz,1,5,6,6,4,8,5,0,0,0,0,0,0
20240328-M-Miami_Masters-QF-Grigor_Dimitrov-Carlos_Alcaraz,Carlos Alcaraz,2,1,6,7,5,4,2,10,4,12,2,0,0
20240326-M-Miami_Masters-R32-Gael_Monfils-Carlos_Alcaraz,Gael Monfils,Total,17,2,5,11,0,12,9,6,8,0,0,0
20240326-M-Miami_Masters-R32-Gael_Monfils-Carlos_Alcaraz,Gael Monfils,1,9,0,5,8,0,8,0,0,0,0,0,0
20240326-M-Miami_Masters-R32-Gael_Monfils-Carlos_Alcaraz,Gael Monfils,2,8,2,0,3,0,4,9,6,8,0,0,0
20240326-M-Miami_Masters-R32-Gael_Monfils-Carlos_Alcaraz,Carlos Alcaraz,Total,10,3,12,13,3,6,3,0,6,0,0,0
20240326-M-Miami_Masters-R32-Gael_Monfils-Carlos_Alcaraz,Carlos Alcaraz,1,10,1,8,11,2,6,0,0,0,0,0,0
