match_id,player,row,pts,pts_won,aces,unret,forced_err,pts_won_lte_3_shots,wide,body,t
20240326-M-Miami_Masters-R32-Gael_Monfils-Carlos_Alcaraz,Gael Monfils,1,30,20,2,4,0,9,17,0,13
20240326-M-Miami_Masters-R32-Gael_Monfils-Carlos_Alcaraz,Gael Monfils,2,17,3,0,0,0,0,11,2,4
20240326-M-Miami_Masters-R32-Gael_Monfils-Carlos_Alcaraz,Carlos Alcaraz,Total,47,33,1,9,0,15,23,6,18
20240326-M-Miami_Masters-R32-Gael_Monfils-Carlos_Alcaraz,Carlos Alcaraz,1,38,29,1,9,0,15,21,3,14
20240326-M-Miami_Masters-R32-Gael_Monfils-Carlos_Alcaraz,Carlos Alcaraz,2,9,4,0,0,0,0,2,3,4
20240326-M-Miami_Masters-R16-Lorenzo_Musetti-Carlos_Alcaraz,Lorenzo Musetti,Total,59,32,1,0,11,16,31,8,20
20240326-M-Miami_Masters-R16-Lorenzo_Musetti-Carlos_Alcaraz,Lorenzo Musetti,1,40,25,1,0,11,14,24,2,14
20240326-M-Miami_Masters-R16-Lorenzo_Musetti-Carlos_Alcaraz,Lorenzo Musetti,2,19,7,0,0,0,2,7,6,6
20240326-M-Miami_Masters-R16-Lorenzo_Musetti-Carlos_Alcaraz,Carlos Alcaraz,Total,55,37,3,1,8,20,29,13,13
20240326-M-Miami_Masters-R16-Lorenzo_Musetti-Carlos_Alcaraz,Carlos Alcaraz,1,35,26,3,1,8,16,15,10,10
20240326-M-Miami_Masters-R16-Lorenzo_Musetti-Carlos_Alcaraz,Carlos Alcaraz,2,20,11,0,0,0,4,14,3,3
20240323-M-Miami_Masters-R64-Roberto_Carballes_Baena-Carlos_Alcaraz,Roberto Carballes Baena,Total,53,25,0,0,7,10,26,13,14
20240323-M-Miami_Masters-R64-Roberto_Carballes_Baena-Carlos_Alcaraz,Roberto Carballes Baena,1,33,19,0,0,7,8,19,5,9
20240323-M-Miami_Masters-R64-Roberto_Carballes_Baena-Carlos_Alcaraz,Roberto Carballes Baena,2,20,6,0,0,0,2,7,8,5
20240323-M-Miami_Masters-R64-Roberto_Carballes_Baena-Carlos_Alcaraz,Carlos Alcaraz,Total,48,32,3,1,7,15,34,7,7
20240323-M-Miami_Masters-R64-Roberto_Carballes_Baena-Carlos_Alcaraz,Carlos Alcaraz,1,34,27,3,1,6,13,25,5,4
20240323-M-Miami_Masters-R64-Roberto_Carballes_Baena-Carlos_Alcaraz,Carlos Alcaraz,2,14,5,0,0,1,2,9,2,3
20240317-M-Indian_Wells_Masters-F-Daniil_Medvedev-Carlos_Alcaraz,Daniil Medvedev,Total,79,44,3,0,8,21,38,19,22
20240317-M-Indian_Wells_Masters-F-Daniil_Medvedev-Carlos_Alcaraz,Daniil Medvedev,1,48,30,3,0,8,13,26,4,18
20240317-M-Indian_Wells_Masters-F-Daniil_Medvedev-Carlos_Alcaraz,Daniil Medvedev,2,31,14,0,0,0,8,12,15,4
